[REVIEW] If there's 2 options to take whether her or any other instructor, despite the time is earlier, never take her. Honest advise. | Quality: 1.0 | Difficulty: 4
[REVIEW] I never took this professor, according to my friends, it's the best thing that has ever happened! Thanks for sparing me! | Quality: 5.0 | Difficulty: 1
[REVIEW] Wrap it up | Quality: 1.0 | Difficulty: 3
[REVIEW] Transferred during the fall, and this was the only professor teaching 141. Prof. Gu is sweet, but during lectures, she is quite soft-spoken. The lectures are also very disorganized, and we were often behind on the material. The TAs were the most helpful; they were the only reason I passed this class. | Quality: 2.0 | Difficulty: 4
[REVIEW] Only prayer will save you in this class. Even atheist people will start praying to GOD in this class. | Quality: 1.0 | Difficulty: 5
[REVIEW] Greatest professor there is. Amazing class with an amazing professor | Quality: 5.0 | Difficulty: 2
[REVIEW] you cooked | Quality: 1.0 | Difficulty: 5
[REVIEW] This class is one of the most unorganized I've ever taken. She is a kind person, but, you will have to do a lot of self-learning because her lectures aren't very helpful. The projects weren't covered in class and labs weren't discussed. I'll say her teaching was ok at first, but as the topics increased in difficulty, her teaching couldn't keep up. | Quality: 2.0 | Difficulty: 5
[REVIEW] Someone else said that this class caused them a lot of stress, and I couldn't agree more. It's final week and I have no idea what my standing in the class is. Lectures were useless, and hard to following along even if you tried - and believe me, I tried. You'll have to learn everything yourself, take another professor if you can. | Quality: 1.0 | Difficulty: 5
[REVIEW] This class felt completely disorganized. Projects were far harder than what lectures prepared us for, and grading was so delayed that work from September wasn't returned by December. Lectures were confusing, the readings didn't match the pace, and TA support didn't help much. I wouldn't take this section again. It caused constant stress really. | Quality: 1.0 | Difficulty: 5
[REVIEW] She is soooo bad dont ever take her please. she will not grade your stuff and she will not teach you anything in class. She doesent really understand how to do much aswell so if you have any questions better off using AI or some other platform. The tests are designed to fail not to test so they are designed to try and trick you into getting the wro | Quality: 1.0 | Difficulty: 5
[REVIEW] So bad, why is it finals week and we don't have PROJECT 0 from early september in the gradebook yet? Does not respond, very unorganized and doesn't know what she's doing genuinely. I'm sorry but if we are paying this much we deserve a professor who gives feedback at a timely manner instead of grading everything after the final. So dissapointing. | Quality: 1.0 | Difficulty: 5
[REVIEW] She's a kind professor but the class is very disorganized. Projects are way harder than what we've learned and take hours to do. Lectures feel like a study hall since you don't really learn anything. Grading is so slow, you don't know where you're standing before the final. Textbook work is long but very manageable. Good person, terrible class. | Quality: 1.0 | Difficulty: 4
[REVIEW] She does not stay up to date with overall grades dont know if you're gonna pass or fail the class until after the final. Do not take | Quality: 1.0 | Difficulty: 5
[REVIEW] Horrible professor, she takes 5 classes to go over one slide and is very very unorginized. She will not help you when you need it and she runs iclicker just to run it. She does not have good policies and does not teach. If you take this class be prepared to waste 1 hour every day in class and spend all your time learning C++ by yourself. | Quality: 1.0 | Difficulty: 1
[REVIEW] can make a run for top 5 most unorganized professors oat | Quality: 1.0 | Difficulty: 5
[REVIEW] I wake up and remember I have her and want to cry. She horrible man, please safe yourself | Quality: 1.0 | Difficulty: 5
[REVIEW] Dont take her shie is so bad save your sanity, the class is unorganized. | Quality: 1.0 | Difficulty: 5
[REVIEW] CS141: This class/teacher is the worst way to learn how to code. Professor Gu is a nice person, but a terrible lecturer. Her lectures consist of old chapters that we learn in Zybooks, very quiet, does not explain effectively. Zybooks also does not teach how to test/practice code or how to build from scratch. THERE IS A LOT OF READINGS. Pray for CS. | Quality: 1.0 | Difficulty: 5
[REVIEW] I took CS 141 but CS 412 was the only option on here for some reason. But I would not recommend taking this course with this Professor. She seems like a nice person but you can barley hear her during her lecture and she has a strong accent. The thing that brings her down is that shes shy and quiet. Participation matters! Take another Professor.. | Quality: 1.0 | Difficulty: 3
[REVIEW] Grading Criteria was clear. Not much Math (I expected a lot more). Homeworks every week from Zybooks, but very doable. Classes are okay-ish in quality. Attendance is compulsory (5 points for attendance). Exams can be very tough and lengthy, so be prepared. Getting a good grade is easy, just do the Zybooks Assignments. | Quality: 4.0 | Difficulty: 3
