[REVIEW] this is for CS341. the second test was quite difficult, but he is a really nice guy and caring. The rest of the course was pretty straight forward. | Quality: 5.0 | Difficulty: 3
[REVIEW] Sweetest professor i have seen so far. Very helpful outside of class. Class is little tough and time consuming which covers lots of coding topics. Start projects early and labs are bit difficult. | Quality: 4.0 | Difficulty: 4
[REVIEW] Class is hard and very time consuming since the covers covers a lot of things. Start projects early and prepare well for labs. Such a nice professor and very supportive during help hours | Quality: 4.0 | Difficulty: 3
[REVIEW] Took class Fall of 2024. Gave me advice about feeling I don't belong in CS after crying figuring out pointers. Threw candy to his students during Halloween who answered his questions. Lectures are easy to understand - especially to those who took AP Classes in CS in high school though not required. 11/10. Would fight tooth and nail to have again. | Quality: 5.0 | Difficulty: 3
[REVIEW] PROTECC THIS AT ALL COSTS. Took him in Fall. Caring family guy I just want to teach me forever. Tests were straight forward, projects were tough but necessary, and overall the nicest professor in all the CS department. I was crying because I couldn't get some material, and he was consoling me and gave advice! NOW HE TEACHES 211 WHY I WANNA KEEP HIM | Quality: 5.0 | Difficulty: 3
[REVIEW] ~5 projects, zyBooks, 2 midterms, and a final. Wish he uploaded his code in a single file on GitHub rather than individual files in the resource tab of piazza. If you have a fundamental understanding of C++ and pointers the course will basically be review. | Quality: 4.0 | Difficulty: 1
[REVIEW] He is a really nice guy but projects in this class were something else. First few were not too bad. The last few projects were really confusing and there were not many resources for us for help. I went to TA office hours and they were not able to help me with my code at all. Lectures were good but he went off topic sometimes. | Quality: 3.0 | Difficulty: 4
[REVIEW] He's very nice, but I found the projects to be really unwieldy and tedious. I also thought that he rambled quite a bit. Despite this, though, he's a very nice man. | Quality: 3.0 | Difficulty: 4
[REVIEW] He never failed to give good feedback on course projects. The course itself is taught at a very manageable pace as well. Definitely recommend the course with Professor Hodges! | Quality: 5.0 | Difficulty: 3
[REVIEW] Easy | Quality: 5.0 | Difficulty: 2
[REVIEW] He is a nice professor; he is always available outside the class, especially giving you feedback in your projects. The bad side is that you will have to rely mostly in Zybooks since he does not get to cover all the material during lectures. Zybooks will be your best resource; just remember to do the practice problems because the labs are similar. | Quality: 4.0 | Difficulty: 2
[REVIEW] Pretty good class with clear guidelines. Get started on programming projects early so you don't have strange errors last minute when submitting. The projects are a big part of the grade so if you do well on those, you should be fine. Also, do all the Zybooks for easy points. | Quality: 5.0 | Difficulty: 3
[REVIEW] He seems very nice but he is not considerate at all! | Quality: 1.0 | Difficulty: 3
[REVIEW] Hodges was a very caring professor. The projects can be difficult but he is always there to help during office hours. Just start the projects early! Make sure to review the iclicker questions before the exams because the exams are tough. | Quality: 5.0 | Difficulty: 2
[REVIEW] very helpful and easy to talk to. good teacher and good at answering questions | Quality: 5.0 | Difficulty: 3
[REVIEW] Nice guy and good lecturer. I honestly don't know who is in charge of the course schedule but its like we are always behind the HW. Besides that, I have no gripes. He answers questions in lecture and pretty fast on Piazza too. | Quality: 4.0 | Difficulty: 2
