[REVIEW] One of the sweet worst professor I have ever seen. There's a term 'G chatthu' in hindi, if you do that then this professor will never ever send your name to dean, if not then he will do his best to report you to the dean. He is not accessible much outside, if you mail him there's high chance he will not reply you and he has big ego and arroagance. | Quality: 1.0 | Difficulty: 3
[REVIEW] Pretty solid professor, just an adjustment it seemed like for many people not used to the college workload and the fact that you mostly learn content yourself in college. Lectures are not super useful but all are recorded in case you want to watch. Homework was short, projects had enough time and tests were always curved to be very reasonable. | Quality: 4.0 | Difficulty: 3
[REVIEW] Learn nothing from him, his lectures are useless. His slides are linked to Zybook and he read the homework to us again. Blame us for not knowing things and tell us most answers can be searched through Google so stop going to office hours. Office hours are always packed, 20 students wait for one TA and sometimes don't show up. | Quality: 1.0 | Difficulty: 5
[REVIEW] Take his guitar lessons for easy A!!!!!!! | Quality: 1.0 | Difficulty: 3
[REVIEW] I think no further explanation will be needed when I tell you that on the first day of class he opened up google to figure out the syntax for printing hello world in C++ because he hasn't coded in C++ in years. In an Intro to C++ class. | Quality: 1.0 | Difficulty: 5
[REVIEW] Honestly, this entire course felt like a dumpster fire. The more content was introduced, the worse it got. Project auto grader could have been better, and you are forced to use only their methods and the given functions. If you finish the project and it works, it will still be given a 0/100 because you didn't use their method/functions. | Quality: 1.0 | Difficulty: 4
[REVIEW] He does not care for his students nor is he prepared for c++. He used chatgpt the first day of class when someone had a question. Many students are struggling but all he will tell his students is to problem solve. Definitely take a different professor. | Quality: 1.0 | Difficulty: 4
[REVIEW] Professor Hayes is overall a great professor who cares a lot about his students. His lectures are flipped meaning you will be doing work in class with him being there for questions. My one complaint is that the course can feel messy at times. The technical issues get annoying with there always being some assigned question needing a revision. | Quality: 4.0 | Difficulty: 3
[REVIEW] Professor Hayes genuinely cares more about students learning rather than the grade received. He wants the students to succeed and is extremely approachable outside of class hours. The lectures are usually activity intensive and that helps quite a bit. Assignments every week plus Zybooks could get a little hectic but it is definitely do-able. | Quality: 5.0 | Difficulty: 4
[REVIEW] Professor Hayes was one of the best teachers I have had here at UIC, he genuinely wants you to succeed and makes sure you do if you ask for help. Taking CS111 with him without prior knowledge of coding may be challenging, but goes for any professor. Go to office hours if you're struggling, he will make sure that you understand and help you. | Quality: 5.0 | Difficulty: 3
[REVIEW] He's an experienced professor who is fair and understanding. The class itself was a bit challenging but his lectures are enjoyable. As long as you show up to the lectures, do the Zybooks and ask any and all questions you'll pass with an A. He shows how even the most experienced people in Tech will always be able to learn something. | Quality: 5.0 | Difficulty: 3
[REVIEW] Professor Hayes is a cool guy. He wants to see you succeed and understand the material. I had the privilege of going to his office hours once during the semester and I had a very interesting conversation with him. I honestly wish I utilized office hours more. If you do the ZyBooks readings and put in time to code outside class, you should be fine | Quality: 5.0 | Difficulty: 3
[REVIEW] Lectures consist of examples of content we'll be working with in the week. He explains everything. I had prior coding exprience so this class wasn't too difficult. If you're struggling please go to office hours. Devote 1-2 hours a day for homework/studying. Attend lecture and ask questions if you're lost. Prof is super nice! | Quality: 5.0 | Difficulty: 2
[REVIEW] A really nice and lenient professor, with clear course structure and makes the class really easy, as compared to the other professors. Honestly, CS111 was my first CS course as a CS Major and I loved doing it under prof. Hayes' guidance. | Quality: 4.0 | Difficulty: 2
[REVIEW] This class was ok until the final. He was unprepared, and literally everyone failed! We know have to retake the multiple choice portion because he messed it up, and the coding portion was literally impossible. No one finished it. I was going to get an A, but now my dreams are shattered. Proffesor Hayes himself means nothing bad, but he's unprepared | Quality: 2.0 | Difficulty: 4
[REVIEW] Due dates are sporadic throughout the week. The textbook teaches you more than the professor does. Might as well buy the zybooks for the course and not take the class. Labs are due Wednesday at midnight. By then you are expected to have completed the online textbook readings which are due Saturday. With quizzes on Friday. Response time 1-3 days. | Quality: 1.0 | Difficulty: 4
[REVIEW] Professor Hayes is a good professor who offers a lot of help if you ask for it and assigns projects that aren't too hard. His lectures are kind of filler with the first 10 minutes being the syllabus for the week and then he teaches for the rest of the time. Learned all the coding through a website called zyBooks where he assigns homework. | Quality: 4.0 | Difficulty: 2
[REVIEW] horrible instructor, no clear policies, if you are new to coding never take class with him | Quality: 1.0 | Difficulty: 4
[REVIEW] professor Hayse was fine but I his lectures are not really useful he spends the first 10 min just reading announcements and the lecture is not heavy on coding. I learned much more through the projects and labs | Quality: 3.0 | Difficulty: 3
[REVIEW] Hard but interesting course, which was made difficult due to the transition to online classes after the COVID outbreak. Professor Hayes tried to use new approaches as both the material itself and online resources were changing, which is why I believe many did poorly. Otherwise, Prof. Hayes was an excellent instructor, I would definitely take again. | Quality: 4.0 | Difficulty: 4
[REVIEW] The most disorganized and confusing class I've ever taken - the professor would take days to reply to emails, had an ever changing syllabus, experimented with confusing new styles of exams that he didn't test out himself, and didn't give us our midterm scores until after the final. Assignment requirements and deadlines were beyond confusing. | Quality: 1.0 | Difficulty: 4
[REVIEW] Worst professor I have ever had. The content of this course was very interesting, just wish it were taught better. Avoid him at any cost. | Quality: 1.0 | Difficulty: 4
[REVIEW] There's so much to say about this professor. Makes poorly designed exams and blames students for their &quot;lack of knowledge&quot;. Interesting content, just wish it were taught better! | Quality: 1.0 | Difficulty: 4
[REVIEW] He is the worst professor I have ever had. Can't create an exam and makes everybody fails and then blames the students for doing it. Avoid him at all cost!!! | Quality: 1.0 | Difficulty: 5
[REVIEW] He always made himself available for students. I would say this class is very tough if you have absolutely no programming experience. He is a good professor and very good with extending timelines. | Quality: 4.0 | Difficulty: 5
[REVIEW] This man is a gem!! He gives relevant feedbacks that helps one to pass his class, and also very accessible during office hours. His tests are difficult only for those with no cs background, but just do a lot of self-study and practice, else you'll most likely do bad in this class. | Quality: 5.0 | Difficulty: 4
[REVIEW] Prof David is so understanding and kind. Projects are going to be hard if you don't have a prior experience in learning CS. But if you go to his office hours for help, it'll be so much easier. I'll advise that you practice everything he teaches because that's the only way you can pass. | Quality: 5.0 | Difficulty: 4
[REVIEW] He is very good though his project is really hard | Quality: 5.0 | Difficulty: 4
[REVIEW] Very helpful professor, project 3 was hard but thankfully I started it early. Really cares for his student but expects the work done from you. Show up, ask for help, do the hw, and redo the hw to study for his exams. Sadly he did not give me a A cause i got a 89 percent. But tbh i aint salty i slacked towards the end. | Quality: 5.0 | Difficulty: 3
[REVIEW] Prof Hayes is a really good professor. I took CS 111 already having around 5 years experience in CS, but having a tough time with it. When going to this class for the first time, Prof Hayes emphasized solving the problem and then coding. This gave me a new perspective on ways that I should tackle coding problems. He is very approachable/useful | Quality: 4.0 | Difficulty: 3
[REVIEW] Good guy who is really understanding of the student. He really guides you through CS especially if you are a beginner. Very helpful in explaining. If you have no background in CS, it will be hard. Those with background, easy A. The assignments are hard for beginners, but relevant to the material and help you learn a lot. Respectable, understanding | Quality: 4.0 | Difficulty: 3
[REVIEW] Prof Hayes was a wonderful professor and the class taught me A LOT but I feel like it was not graded fairly. Most of his demos in class don't work and he spends a decent amount of time trying to fix it. There are a lot of mandatory assignments, but he only ends up grading exams, projects, and labs. A lot of work for a class that was a free elective | Quality: 4.0 | Difficulty: 4
