[REVIEW] good professor and caring. A lot of work though and it is quite difficult. | Quality: 5.0 | Difficulty: 3
[REVIEW] Pretty good professor that genuinely cares that students get the most out of his class. Lectures are fairly organized, although he does go off on tangents on some occasions. Labs are easy and purely participation, but good for learning. 2 Projects and 2 Exams. Not nearly as bad of a class as people make it out to be. | Quality: 5.0 | Difficulty: 3
[REVIEW] Great prof. | Quality: 5.0 | Difficulty: 2
[REVIEW] Not sure why Professor Koehler's ratings are so low. He teaches very well, is always eager to explain concepts if anyone doesn't understand, and responds quickly to questions on Piazza. The class wasn't as hard as I expected. it's very manageable to get an A since he offers extra credits on projects and exams. | Quality: 5.0 | Difficulty: 3
[REVIEW] Not sure why Prof. Koehler has low ratings, he's genuinely a good professor. He has clear grading criteria, lots of opportunity to increase your grade, and he's pretty flexible for a lot of it. Even assignment heavy classes, he gives grace periods. Also super accessible and helpful outside of class. If you show you care, he def does as well. | Quality: 5.0 | Difficulty: 2
[REVIEW] I'm currently in his class and honestly have no idea why his rating is so low. He provides tons of resources to study with. Yeah, the class does require work and self-studying, but I've learned so much I went from just knowing how to write code to actually understanding how it runs at a lower level, which is pretty cool. | Quality: 5.0 | Difficulty: 4
[REVIEW] He's rude and monotone. Lectures have a lot of wasted time where he's simply not discussing course material. The homework assignments are tedious chores that don't help you learn. Our TAs had nervous breakdowns in every lab section and sometimes we would sit there for 2 hours learning nothing while they fumbled over their words. Exams were ok. | Quality: 2.0 | Difficulty: 4
[REVIEW] This professor does give extra credit for lecture participation and rewards course evaluations at the end of the semester. He gives great advice for how to succeed in the class. | Quality: 4.0 | Difficulty: 3
[REVIEW] Please read emails | Quality: 1.0 | Difficulty: 5
[REVIEW] Professor Koehler is a steal in comparison to some CS instructors, he literally gives videos of the study guides!, you have an ammunition of resources to prepare you well for the exams. Machine assembly is hard as a first for many, so lots of upset kiddos who haven't learned accountability, but you have lots of opportunities to do well and pass | Quality: 5.0 | Difficulty: 5
[REVIEW] I was scared to take Koehler because of his reviews but he was a great guy and teacher. I can see how he comes off blunt but that's just how he talks. I went to his office hours multiple times and he was very nice and approachable. Yes of course the course material was difficult but doing labs, homeworks, and exam reviews were very helpful. | Quality: 5.0 | Difficulty: 3
[REVIEW] Worst professor and worst class all in one | Quality: 1.0 | Difficulty: 5
[REVIEW] You need lots of time to spend on the class. Lectures are long and boring, and labs are sometimes confusing. Prepare to self-study. | Quality: 2.0 | Difficulty: 3
[REVIEW] One of the most caring professors, he goes above and beyond to ensure you learn. Lectures are well planned (PPTs, videos & notes before class) He provides videos for HW's, projects and study guide. Grades are balanced so your learning efforts are never in vain. You are highly incentivized to keep trying, which genuinely helps you master this class | Quality: 5.0 | Difficulty: 3
[REVIEW] This professor was rude in emails, vague in answers, and unclear in lectures. He solves problems without explaining, makes grading confusing, and gives projects with unnecessary stories. Overall, not helpful and I would not recommend him. | Quality: 1.0 | Difficulty: 5
[REVIEW] His teaching style is the worst; he does the calculation in his head or on paper that he does not show us, and tells us the final answer. He never tells how he got the answer until students ask him. His lectures are slow and without enthusiasm, so you start feeling sleepy in his class. His course policy is harsh. Only 1 drop for homeworks and lec. | Quality: 1.0 | Difficulty: 5
[REVIEW] I like his class! He offers a ton of material for you to review, and I love the concepts he presented. It's easy to fall behind, but stay on top of things. | Quality: 5.0 | Difficulty: 4
[REVIEW] He cares a lot about his students and adjusting the curriculum so it suits students' needs; his main goal is to make sure students leave his class well-equipped for future courses and the workforce, so students who are just there for the grade may not enjoy it. Although, his lecture style can be confusing sometimes. | Quality: 5.0 | Difficulty: 4
[REVIEW] I took his CS 141 course in the summer for 4 weeks, and even though it was loaded with a lot of assignments, he explained and taught how to code on the projector and answered any questions on the spot, he made the class humorous at times, and I personally found his cards and dice examples useful and it kept me engaged. Bro is goated. | Quality: 5.0 | Difficulty: 4
[REVIEW] (4 Week Summer Course) Class examples with cards and dice were useless. The class could've been more effective for students transitioning to C++ and should've had lessons coding it yourself in class instead of him coding and trying to explain. Work load is very heavy and often his explanations do not help much either. Would not recommend taking him | Quality: 1.0 | Difficulty: 3
[REVIEW] Shows a lot of empathy to his students. Gives good career advice and feedback. | Quality: 5.0 | Difficulty: 4
[REVIEW] Excellent educator. You will learn if you go to class. You will receive a good grade if you follow instructions. 211 is a challenging course, though utilize resources (including Koehler) and you will be successful. Exams are tough, but use Koehler/TAs to check answers. His RMP is outdated. He is one of the best UIC has to offer. TAKE HIS CLASS! | Quality: 5.0 | Difficulty: 1
[REVIEW] Now, CS251 has always been a hard class. It is one of the most important classes within the CS Dark Horse Trilogy (211, 251, 261), and I could not have been more glad to have taken it with Koehler. Heres my list of pros and cons ~ Pros - Fast answers - Great lectures and bonus videos - great project selection Cons - tbh, can't think of one! | Quality: 4.0 | Difficulty: 2
[REVIEW] Decent guy, funny lecturer. Class was easy, no complaints. | Quality: 5.0 | Difficulty: 2
[REVIEW] Prof Koehler is a solid professor to take. His CS 211 class wasn't that bad. He is funny in lectures and from what I heard is a very nice person. Definitely don't hesitate to take him | Quality: 5.0 | Difficulty: 3
[REVIEW] Very rude and passive aggressive. He was basically a bully to students on online forums like piazza and answered questions in an insultingly rude manner at all times. I really despise this professor as he doesn't deserve to be called one and or to even teach at a highschool. I truly hope karma teaches him a lesson or two | Quality: 1.0 | Difficulty: 5
[REVIEW] Honestly, I do not know why he gets a bad rep for 251. Yes, the course was hard, and unless you're going into data science, tbh... mostly useless. However, as a professor he was not bad, he WANTS you to succeed, he gives a lot of resources, and explains most topics rather well in lectures. Labs were mostly about reinforcing lecture topics. | Quality: 4.0 | Difficulty: 3
[REVIEW] I am not taking CS 251. I am taking CS 211 this semester, and my friend and I finally decided to drop this course. He is often aggressive towards students, which makes me feel extremely uncomfortable. I also heard about this from other students who took his classes before. I feel so bad seeing his replies to students... | Quality: 1.0 | Difficulty: 3
[REVIEW] Drop his class if you can. He is very aggressive to students. | Quality: 1.0 | Difficulty: 3
[REVIEW] DON'T take his class. Perhaps the top 2 worst instructors I have ever seen. | Quality: 1.0 | Difficulty: 4
[REVIEW] I was hesitant taking a class with Professor Koehler due to the reviews, but I am so glad I did. He expects a lot, but only cause he wants you to learn. The programs are challenging, but not impossible. He was very responsive on Piazza and his project descriptions and what he was expecting from you were very clear. My favorite thus far. | Quality: 5.0 | Difficulty: 3
[REVIEW] He wants you to succeed. The oral exams are LeetCode question interview style with a partner. The projects are not easy, but are manageable. He posts tons of resources on blackboard like code from class on his GitHub, and short video lectures on YouTube. His lectures are also good but make sure to pay attention and don't sit in the back. | Quality: 5.0 | Difficulty: 3
[REVIEW] I know some people don't like way he taught 251 when he started, but I don't think I could ask for a better professor or class structure. He set up the class to help students succeed in CS. Our oral exams are with partners and he is accessible through office hours. His lectures are great, but don't sit in the back. | Quality: 5.0 | Difficulty: 3
[REVIEW] SPRING 2023 --- PROS: He is accessible outside of class, and will willingly explain things to you. He grades fairly, and in my opinion generously gives out points. He only gives out oral exams, no written --- CONS: He doesn't give out extra credit. He grades fair, but also strictly. --- SUMMARY: He's underrated, and his RMP score is outdated IMO. | Quality: 5.0 | Difficulty: 3
[REVIEW] Can be a quite unorganized with the course, however that could be used to your advantage. He is very generous with grading and tries to help you out as much as possible. I did not attend lectures at all and still managed to get an A. Overall, just do your projects (on time) and start on them early cause most likely you'll need help. | Quality: 4.0 | Difficulty: 1
[REVIEW] he is a really good professor, the structure of the class is great and he is flexible with deadlines and he is willing to help you out. Great professor he takes feedback seriously and is trying to improve as a professor!! | Quality: 5.0 | Difficulty: 3
[REVIEW] I think half of the criticism on RMP for him has now become invalid since he did change a lot of his practices due to the backlash. He knows the material very well and is also flexible with deadlines in many cases. There is literally no written exam just 3 oral tests in a technical interview format which I think is a great way to test. | Quality: 5.0 | Difficulty: 2
[REVIEW] Often times very passive aggressive towards students. | Quality: 1.0 | Difficulty: 4
[REVIEW] He was very accessible outside of class and was able to elaborate really well on the questions in class. I feel like I really got a great understanding of data structures through his class and the conversations that I had with him outside of class. He had a lot of knowledge on the material and taught it well. | Quality: 5.0 | Difficulty: 3
