[REVIEW] Don't take him, he makes this course like a 400-level course. | Quality: 1.0 | Difficulty: 5
[REVIEW] Great professor with good lectures, I just think that the course is a bit boring and it gets a bit redundant as time goes on, especially with labs, but otherwise projects are designed well and exams are doable. | Quality: 4.0 | Difficulty: 2
[REVIEW] Great professor. CS 211 is a challenging course with a broad scope, but professor Reckinger has the right attitude on the lectures, as well as outside of class to help any student succeed. Be wary of the group labs, which can be very difficult to complete in time. Projects are manageable if you start early. Exams are hard but fair. | Quality: 5.0 | Difficulty: 4
[REVIEW] Boring lectures, all read from slides, never reply to any email, teach important course and have absolute zero responsibility. | Quality: 1.0 | Difficulty: 5
[REVIEW] I retook this professor the same CS211 class in which the course was exponentially much more enjoyable in the summer course! He's an awesome guy if you talk to him and he always gives great advice/pointer for the content! Definitely do not slack like I did and make an effort to know him, it'll be worth it! Good luck! | Quality: 5.0 | Difficulty: 5
[REVIEW] I took Summer CS 211, and the class was indeed great. Prof was caring of his students, when they express concerns or need support due to fast pace, he would stay extra 2+ hours for Office hour after lecture just to explain the problems and make it very clear, and even adjust the teaching materials for better exam preparation. Well respected !!! | Quality: 5.0 | Difficulty: 3
[REVIEW] I wasn't a fan. Both labs and projects did not feel calibrated for the course/skill level, and there were several instances where I genuinely could not finish more than three quarters of the lab in time. The TAs were incredibly unhelpful and Reckinger seemed genuinely out of it all semester. In addition, his communication was terrible. | Quality: 2.0 | Difficulty: 4
[REVIEW] Prof. Reckinger is a great instructor. The projects can be challenging at times, but he makes an effort to give you the material needed to complete the projects. There's also extra credit to give you incentive to complete the project early. His rating does not reflect how good he is IMO. | Quality: 5.0 | Difficulty: 3
[REVIEW] ............ | Quality: 1.0 | Difficulty: 5
[REVIEW] Honestly, he was a good professor. The lectures did tend to get boring, however aside from that everything else was straight to the point. Practice midterms were just like the exam, zybooks was really annoying to do, projects weren't bad as long as you start early. overall, enjoyed the class | Quality: 5.0 | Difficulty: 2
[REVIEW] The heavy workload is unnecessary, especially the last Zybooks where I learned nothing for 5+ hours right before finals. He has a great attitude, but the lectures can get a bit dull. Easy class if you focus and practice on your own time and especially don't cheat on projects (that's where you learn the most!) | Quality: 4.0 | Difficulty: 2
