[REVIEW] Some people age into wisdom. Others age into HR training opportunities | Quality: 1.0 | Difficulty: 3
[REVIEW] dudes powerpoints look like they gave the pen to a chicken to scribble on, skip out on this on trust | Quality: 1.0 | Difficulty: 3
[REVIEW] dudes powerpoints look like they gave the pen to a chicken to scribble, skip out on this one, trust | Quality: 1.0 | Difficulty: 3
[REVIEW] even ta's doesnt know the extra material, when you go ask them help they be like honestly we dont know we can try learning it together, like seriously? | Quality: 1.0 | Difficulty: 4
[REVIEW] Omg I do not know why I took this professor he is really bad We finished the CS 362 syllabus before midterms and now he is teaching completely different material not covered before He adds unnecessary concepts homework is very hard nothing gets dropped and lectures labs and homework feel disconnected Take McCarty instead | Quality: 1.0 | Difficulty: 4
[REVIEW] homeworks, lectures, and labs are more divorced from each other than my parents | Quality: 2.0 | Difficulty: 5
[REVIEW] The professor was good, he answered questions and explained things easy enough to understand. The class itself is difficult, if you don't pay attention or ask questions it'll be hard on projects on tests. So many projects. | Quality: 4.0 | Difficulty: 2
[REVIEW] Fall 2023. Class overall was not too hard, first 2/3 was easy, and last 1/3 of the semester started to become a little difficult. Attendance matters since he does iClickers every class. He does a decent job explaining the material and usually answers during class. As long as you do the hw, labs, and do decent on the in-person exams, easy B class. | Quality: 3.0 | Difficulty: 3
[REVIEW] Lectures can be dry, but the professor cares about students' understanding. Do the homework, use resources like Unstuck AI, and you'll do well. Just don't expect the lectures to carry you. | Quality: 3.0 | Difficulty: 3
[REVIEW] He's a pretty good instructor. The iClicker practice questions are participation based and are decent examples. The projects were easily the toughest part of the course, but he responds fast if you contact him on Piazza. Some of the homework got quite long near the end. Try to get a good group for lab, it will help a lot. | Quality: 4.0 | Difficulty: 3
[REVIEW] Professors lectures where amazing as long as you show up and do the weekly homeworks you will be fine. Projects are hard, but go to office hours or piazza and you will be fine. Great Professor with an amazing sense of humor, to keep the class engaged. | Quality: 5.0 | Difficulty: 3
[REVIEW] I appreciate the lighter coursework, and the projects (while incredibly difficult) are relevant and realistic. He is pretty funny, but you have to REALLY focus and ask questions because you can get lost really easy. Also, the exams are easier than you think. It is realistic to get an A :) | Quality: 4.0 | Difficulty: 5
[REVIEW] Do not recommend | Quality: 1.0 | Difficulty: 1
[REVIEW] The professor has a great sense of humor. He explains very ell, however it is difficult to understand if you have NEVER learned CS or you are a blank slate in CS. The TA's management is very awful. | Quality: 1.0 | Difficulty: 3
[REVIEW] Very good CS professor. He explains things like everyone in the class has no initial knowledge- which was helpful because I had never taken a CS course before or done any coding. His office hours are also helpful and you can tell he cares about his students understanding the material. Very low stress professor which I highly recommend. | Quality: 5.0 | Difficulty: 2
[REVIEW] If you do the homework, the lectures are pointless. Unfortunately, the lectures are mandatory and horribly boring. He also gets pretty upset if no one raises their hand in class. | Quality: 2.0 | Difficulty: 3
[REVIEW] He gets testy in class if he doesn't get any hands. And the lectures are mostly worthless if you do the homework. | Quality: 2.0 | Difficulty: 3
[REVIEW] Do not rely on his lectures for the exams, you will need to do extensive work on Zybook. Projects will take long. Each exam has a lab portion. This lab portion will be the toughest part, but try to ask TA's to point you in the right direction or to even check your code. | Quality: 3.0 | Difficulty: 5
[REVIEW] Difficult class but overall professor was good and gave lectures that helped understanding most topics | Quality: 3.0 | Difficulty: 4
[REVIEW] good teacher | Quality: 5.0 | Difficulty: 3
[REVIEW] Professor Theys gets a lot of slack just because the course itself is difficult. 261 simply teaches you so much about the compilers in a mind blowing way. Make sure to show up to class and listen. Theys is a wonderful lecturer who is ever ready to reteach concepts as long as it takes. Put in the effort, go to office hours and ask tons of questions. | Quality: 4.0 | Difficulty: 4
