[REVIEW] 401 is known as one of the hardest CS classes at UIC, but with this professor, it is easy to get an A. | Quality: 5.0 | Difficulty: 1
[REVIEW] Do you have a pulse? If so, this man will give you an A! He's a good teacher still, but I think many just blow his course off because of the above. | Quality: 5.0 | Difficulty: 1
[REVIEW] Attendance for lecture and discussions are both optional, and there's very few assignments. Assignments and exams aren't easy per se BUT there's a nice curve at the end of the semester which makes pretty easy to get a good grade. Make sure to go to discussion sessions to ask for help on assignments because some of them can be challenging.. | Quality: 5.0 | Difficulty: 1
[REVIEW] He's chill af! There was not too much homework, which wasn't worth that much of the overall grade. While the course was exam-heavy, the exams weren't too hard and were related to the homework and review guide. I got 100s on all assignments and homework except for one. Would def take a course with him again! | Quality: 5.0 | Difficulty: 1
[REVIEW] pretty chill professor, easy exams, easy class | Quality: 4.0 | Difficulty: 1
[REVIEW] He's the best teacher in the entire UIC faculty , hands down to this hard working man! | Quality: 5.0 | Difficulty: 3
[REVIEW] He's DasGOATa | Quality: 5.0 | Difficulty: 1
[REVIEW] He's the GOAT. Do the assignments, study the provided materials, and you'll get an A. | Quality: 5.0 | Difficulty: 2
[REVIEW] Bro doesn't care | Quality: 5.0 | Difficulty: 1
[REVIEW] Very nice professor, the best 151 among all 151 classes. | Quality: 5.0 | Difficulty: 1
[REVIEW] Professor DasGupta is fantastic. I always looked forward to what questions or comments he would make lol. His lectures are not extremely fast-paced, although proof heavy. There are very few HW assignments (almost too few IMO), 2 midterms, and a final exam. Exams are fair with few questions. Highly recommend getting into his section if possible! | Quality: 5.0 | Difficulty: 3
[REVIEW] Easily the funniest Professor I have ever taken, with amazing lectures. The course was more focused on demonstrating an understanding of topics by attending lecture rather than homework (proven on the exams). All exams and assignments were fair. If you can take him, absolutely do. Every class was enjoyable to attend, and you can learn a great deal. | Quality: 5.0 | Difficulty: 2
[REVIEW] There were 3 homework assignments, 2 midterms, and a final. All lectures were posted online, you only had to show up to turn in homework and take the tests. Generous points were given even if you didn't get the right answers on the homework. You're given sample tests with analogous questions to the actual tests. This man is a blessing. | Quality: 5.0 | Difficulty: 1
[REVIEW] Easiest CS class, extremely lenient grading and you learn a fair bit too | Quality: 5.0 | Difficulty: 1
[REVIEW] If you are taking 401/301 do not think any further and just enroll. Class is possibly the easiest A you will ever get. Impossible to fail this man and with minimal effort you will get an A. No need to show up to lecture either just reread his slides/practice exams and make sure you understand core concepts for exams since they are easy too. | Quality: 5.0 | Difficulty: 1
[REVIEW] The professor is a legend ! Teaches like magic, explains the most difficult concepts like butter. | Quality: 5.0 | Difficulty: 4
[REVIEW] Easiest A I've ever gotten in CS. If only every math class was like this. Feelsbadman. Protip: Practice exams are very similar to the actual ones. | Quality: 5.0 | Difficulty: 1
[REVIEW] This man is a living legend. Take him if you can and you will get an easy A. | Quality: 5.0 | Difficulty: 2
[REVIEW] Went to class twice, got an A. As long as you go over his 3 question practice exams there is no way you would fail, since he gives the same questions on the actual exams. Huge curve, even though everyone did great. If you actually do want to learn though he is actually a very good lecturer too. Take him, you won't regret it! | Quality: 5.0 | Difficulty: 1
[REVIEW] first midterm was the exact same questions as the study guide. second midterm was nothing like the study guide. midterms were 2 questions. very generous curve. the final was really just another midterm, and really easy. much easier of a class than i anticipated. | Quality: 5.0 | Difficulty: 2
[REVIEW] He is a real gem! Amazing prof!!! Not many assignments and a really easy grader. Attendance is not mandatory! Just review his study guide before the exam and you will pass. He is really funny during his lecture and really fun attending class. LOVE IT. He really cares about his students !! | Quality: 5.0 | Difficulty: 1
[REVIEW] great Prof | Quality: 5.0 | Difficulty: 1
[REVIEW] I enjoyed the lectures and the prof's sense of humor. Sometimes I thought lectures were a bit too easy for an advanced course, but overall the pace of the course was good. I would have liked more homework so I could have more feedback on my understanding of the material. The professor also thinks EVERY topic in the course is easy. | Quality: 4.0 | Difficulty: 1
[REVIEW] Good professor and good course | Quality: 5.0 | Difficulty: 2
[REVIEW] He is slow paced and teaches a few concepts which are good to know. He really want your to understand. I like the fact that he curves the grade very nicely. A very good professor. | Quality: 5.0 | Difficulty: 1
[REVIEW] Dasgupta is awesome. | Quality: 4.5 | Difficulty: 3
[REVIEW] Super easy class. Not a lot of homework. Used PP slides most of the time. Easy to undersrtand, nice prof. Would take another class with him. | Quality: 4.0 | Difficulty: 1
[REVIEW] This class was quite easy. You would be fine if you study the powerpoints. Homework is not bad at all. You get plenty of time to do it. Overall exams were easy. He curves grades. A very good prof., I would def | Quality: 5.0 | Difficulty: 2
[REVIEW] I really do not like the way that Mr. Dasgupta teaches. You really have to teach yourself everything to get an A in this class. | Quality: 3.0 | Difficulty: 2
[REVIEW] No Comments | Quality: 3.5 | Difficulty: 2
[REVIEW] Course Data Structures and Discrete Mathematics. Fair to good presentation of the material. Went largely off ppt slides, few references to book, although the book was used for homework. Easy to get along with, responsive to questions. Fair grading. | Quality: 3.0 | Difficulty: 2
